seconds_in_video,angle_radians,angle_degrees
232.92,2.229287706807238,127.72877692045242
232.94,2.2489727154106496,128.85664483310663
232.96,2.274221409962877,130.3032884691642
232.98,2.2952622214136515,131.5088381628241
233.0,2.29971256516906,131.76382407739143
233.02,2.298746362512269,131.70846474300296
233.04,2.291259005216366,131.27947077024126
233.06,2.2901568835227955,131.21632384868985
233.08,2.2859212135908313,130.97363783817784
233.1,2.281289160469205,130.70824074382827
233.12,2.279525951735724,130.60721632499917
233.14,2.282613919392537,130.78414383900747
233.16,2.305643741326921,132.1036554387855
233.18,2.3552883511055462,134.94808205467461
233.2,2.4085571282331806,138.00015816391107
233.22,2.5639700018943516,146.90465990669603
233.24,2.708269371405737,155.17240476609715
233.26,2.7635627864022654,158.34048408026362
233.28,2.8829680128711654,165.18189960873536
233.3,2.958555321688672,169.5127333887305
233.32,2.997099661267089,171.72116137069284
233.34,2.987491171779238,171.17063547554315
233.36,2.991170527744842,171.38144704369856
233.38,2.9935819720475143,171.51961262477255
233.4,3.0045961434407547,172.15067816043896
233.42,3.002730395246769,172.04377866328943
233.44,2.9622436938879066,169.72406154902004
233.46,2.984254426344035,170.9851836227478
233.48,2.9770117215103284,170.5702072035174
233.5,2.9692833295287895,170.12740296055247
233.52,2.9226734949634214,167.45685615615392
233.54,2.935898750071584,168.21460745683547
233.56,2.9224700060484494,167.44519710014833
233.58,2.9376895191493473,168.31721096707383
233.6,2.958500863596787,169.50961316990515
233.62,2.9563834241932785,169.3882928287094
233.64,2.943214953937373,168.63379506040246
233.66,2.9474961977727774,168.87909226323754
233.68,2.923100091444506,167.4812983340752
233.7,2.8695212751731836,164.41145829042156
233.72,2.8062177354446494,160.7844326357378
233.74,2.7750529160906594,158.99882001746656
233.76,2.7131414251664974,155.45155288414958
233.78,2.6748688455194336,153.25869559929453
233.8,2.669937290007073,152.97613828200178
233.82,2.636702481122683,151.07192400000235
233.84,2.671978139573937,153.0930703488042
233.86,2.6786735249419587,153.4766876726055
233.88,2.712294439021876,155.40302415275673
233.9,2.7142085080021072,155.51269222702086
233.92,2.7182979682017607,155.74700103694775
233.94,2.674510628074585,153.23817125155674
233.96,2.6566702022076014,152.21599014466256
233.98,2.6772030977913532,153.39243840279434
234.0,2.7159171451186523,155.6105899225183
234.02,2.757930595441138,158.0177833087793
234.04,2.7807185877888148,159.32343909387757
234.06,2.7755334761663533,159.0263540816063
234.08,2.747783210708402,157.436380990498
234.1,2.7409005597150267,157.0420341367161
234.12,2.738886094572414,156.92661378606817
234.14,2.735339834236726,156.7234280357786
234.16,2.7224301349749918,155.98375675329808
234.18,2.7157770043541696,155.60256044817572
234.2,2.7260709200048834,156.19235836962528
234.22,2.7309536417648776,156.47211771900965
234.24,2.6728031209399474,153.14033829925353
234.26,,
234.28,,
234.3,,
234.32,,
234.34,,
234.36,,
234.38,,
234.4,,
234.42,,
234.44,,
234.46,,
234.48,,
234.5,,
234.52,,
234.54,,
234.56,,
234.58,,
234.6,,
234.62,,
234.64,,
234.66,,
234.68,,
234.7,,
234.72,,
234.74,,
234.76,,
234.78,2.840034523500951,162.72199186805233
234.8,2.8382483221939787,162.61965007180203
234.82,2.835845659964713,162.48198766646962
234.84,2.8312580215885896,162.2191353495855
234.86,2.808597182247558,160.92076489512039
234.88,2.8149207407589762,161.28307810932867
234.9,2.832320593775183,162.28001625130528
234.92,2.835710450856442,162.47424075521397
234.94,2.8403946460270655,162.74262536890626
